shift,rep,detector,total_detections,false_alarms,post_drift_detections,false_alarm_rate,first_post_drift_detection,detection_delay,detected,calibration_threshold
title,105,Boundary-Aware,17,4,13,0.07692307692307693,1400.0,25.0,True,2.717959909131884
title,106,ADWIN,0,0,0,0.0,,,False,
title,106,Page-Hinkley,0,0,0,0.0,,,False,
title,106,Boundary-Aware,22,5,17,0.09615384615384616,1450.0,75.0,True,2.0629454882482134
title,107,ADWIN,0,0,0,0.0,,,False,
title,107,Page-Hinkley,0,0,0,0.0,,,False,
title,107,Boundary-Aware,6,2,4,0.038461538461538464,1625.0,250.0,True,2.229809240107115
title,108,ADWIN,0,0,0,0.0,,,False,
title,108,Page-Hinkley,0,0,0,0.0,,,False,
title,108,Boundary-Aware,15,1,14,0.019230769230769232,1525.0,150.0,True,2.651515894855724
title,109,ADWIN,0,0,0,0.0,,,False,
title,109,Page-Hinkley,0,0,0,0.0,,,False,
title,109,Boundary-Aware,25,4,21,0.07692307692307693,1400.0,25.0,True,2.1535912701825786
title,110,ADWIN,0,0,0,0.0,,,False,
title,110,Page-Hinkley,0,0,0,0.0,,,False,
title,110,Boundary-Aware,14,2,12,0.038461538461538464,1400.0,25.0,True,2.5119328994150005
title,111,ADWIN,0,0,0,0.0,,,False,
title,111,Page-Hinkley,0,0,0,0.0,,,False,
title,111,Boundary-Aware,32,7,25,0.1346153846153846,1375.0,0.0,True,1.8995682406572778
title,112,ADWIN,0,0,0,0.0,,,False,
title,112,Page-Hinkley,0,0,0,0.0,,,False,
title,112,Boundary-Aware,17,1,16,0.019230769230769232,1450.0,75.0,True,2.5129028039457855
title,113,ADWIN,0,0,0,0.0,,,False,
title,113,Page-Hinkley,0,0,0,0.0,,,False,
title,113,Boundary-Aware,7,1,6,0.019230769230769232,1700.0,325.0,True,2.265831928374058
title,114,ADWIN,0,0,0,0.0,,,False,
title,114,Page-Hinkley,0,0,0,0.0,,,False,
title,114,Boundary-Aware,19,4,15,0.07692307692307693,1375.0,0.0,True,2.184701706557253
title,115,ADWIN,0,0,0,0.0,,,False,
title,115,Page-Hinkley,0,0,0,0.0,,,False,
title,115,Boundary-Aware,20,5,15,0.09615384615384616,1375.0,0.0,True,1.9799298452393246
title,116,ADWIN,0,0,0,0.0,,,False,
title,116,Page-Hinkley,0,0,0,0.0,,,False,
title,116,Boundary-Aware,28,4,24,0.07692307692307693,1375.0,0.0,True,1.7909405574518158
title,117,ADWIN,0,0,0,0.0,,,False,
title,117,Page-Hinkley,0,0,0,0.0,,,False,
title,117,Boundary-Aware,21,3,18,0.057692307692307696,1375.0,0.0,True,2.7553106808947874
title,118,ADWIN,0,0,0,0.0,,,False,
title,118,Page-Hinkley,0,0,0,0.0,,,False,
title,118,Boundary-Aware,27,1,26,0.019230769230769232,1375.0,0.0,True,1.9486381395236978
title,119,ADWIN,0,0,0,0.0,,,False,
title,119,Page-Hinkley,0,0,0,0.0,,,False,
title,119,Boundary-Aware,32,5,27,0.09615384615384616,1375.0,0.0,True,2.1340774189534724
title,120,ADWIN,0,0,0,0.0,,,False,
title,120,Page-Hinkley,0,0,0,0.0,,,False,
title,120,Boundary-Aware,24,3,21,0.057692307692307696,1400.0,25.0,True,2.2238083946741427
title,121,ADWIN,0,0,0,0.0,,,False,
title,121,Page-Hinkley,0,0,0,0.0,,,False,
title,121,Boundary-Aware,17,4,13,0.07692307692307693,1375.0,0.0,True,2.3301085260497576
title,122,ADWIN,0,0,0,0.0,,,False,
title,122,Page-Hinkley,0,0,0,0.0,,,False,
title,122,Boundary-Aware,32,4,28,0.07692307692307693,1375.0,0.0,True,2.003515503666561
title,123,ADWIN,0,0,0,0.0,,,False,
title,123,Page-Hinkley,0,0,0,0.0,,,False,
title,123,Boundary-Aware,1,1,0,0.019230769230769232,,,False,3.1590419506733816
title,124,ADWIN,0,0,0,0.0,,,False,
title,124,Page-Hinkley,0,0,0,0.0,,,False,
title,124,Boundary-Aware,22,2,20,0.038461538461538464,1375.0,0.0,True,1.8846978734040383
title,125,ADWIN,0,0,0,0.0,,,False,
title,125,Page-Hinkley,0,0,0,0.0,,,False,
title,125,Boundary-Aware,18,1,17,0.019230769230769232,1550.0,175.0,True,3.1010769513652043
title,126,ADWIN,0,0,0,0.0,,,False,
title,126,Page-Hinkley,0,0,0,0.0,,,False,
title,126,Boundary-Aware,29,10,19,0.19230769230769232,1500.0,125.0,True,1.484011591160425
title,127,ADWIN,0,0,0,0.0,,,False,
title,127,Page-Hinkley,0,0,0,0.0,,,False,
title,127,Boundary-Aware,23,4,19,0.07692307692307693,1375.0,0.0,True,2.4286155126971467
title,128,ADWIN,0,0,0,0.0,,,False,
title,128,Page-Hinkley,0,0,0,0.0,,,False,
title,128,Boundary-Aware,16,6,10,0.11538461538461539,1375.0,0.0,True,2.19209945301747
title,129,ADWIN,0,0,0,0.0,,,False,
title,129,Page-Hinkley,0,0,0,0.0,,,False,
title,129,Boundary-Aware,15,5,10,0.09615384615384616,1375.0,0.0,True,2.010809636640041
title,130,ADWIN,0,0,0,0.0,,,False,
title,130,Page-Hinkley,0,0,0,0.0,,,False,
title,130,Boundary-Aware,8,1,7,0.019230769230769232,1575.0,200.0,True,2.3734522357914516
title,131,ADWIN,0,0,0,0.0,,,False,
title,131,Page-Hinkley,0,0,0,0.0,,,False,
title,131,Boundary-Aware,23,3,20,0.057692307692307696,1425.0,50.0,True,2.7775725772324447
title,132,ADWIN,0,0,0,0.0,,,False,
title,132,Page-Hinkley,0,0,0,0.0,,,False,
title,132,Boundary-Aware,30,2,28,0.038461538461538464,1375.0,0.0,True,1.8438877357953491
title,133,ADWIN,0,0,0,0.0,,,False,
title,133,Page-Hinkley,0,0,0,0.0,,,False,
title,133,Boundary-Aware,31,3,28,0.057692307692307696,1375.0,0.0,True,2.177081974829615
title,134,ADWIN,0,0,0,0.0,,,False,
title,134,Page-Hinkley,0,0,0,0.0,,,False,
title,134,Boundary-Aware,23,3,20,0.057692307692307696,1550.0,175.0,True,1.8522384355705779
title,135,ADWIN,1,0,1,0.0,1951.0,576.0,True,
title,135,Page-Hinkley,0,0,0,0.0,,,False,
